mode,key,value
MM,Ao Diam,36.78
MM,Ao Diam,36.78
MM,LA Diam,31.98
MM,LA Diam,31.98
MM,LA/Ao,0.87
MM,LA/Ao,0.87
MM,D-E Excursion,18.87
MM,D-E Excursion,18.87
MM,E-F Slope,97.48
MM,E-F Slope,97.48
MM,EPSS,9.59
MM,EPSS,9.59
MM,IVSd,5.44
MM,IVSd,7.04
MM,LVIDd,54.37
MM,LVIDd,54.37
MM,LVPWd,6.4
MM,LVPWd,5.76
MM,IVSs,8.32
MM,IVSs,8.0
MM,LVIDs,37.42
MM,LVIDs,36.78
MM,LVPWs,9.28
MM,LVPWs,8.64
MM,EDV(Teich),143.56
MM,EDV(Teich),143.56
MM,ESV(Teich),59.72
MM,ESV(Teich),57.3
MM,EF(Teich),58.4
MM,EF(Teich),60.08
MM,%FS,31.18
MM,%FS,32.35
MM,SV(Teich),83.85
MM,SV(Teich),86.26
MM,LVd Mass (ASE),108.3
MM,LVd Mass (ASE),118.95
MM,LVd Mass Ind (ASE),57.91
MM,LVd Mass Ind (ASE),63.61
MM,RWT,0.24
MM,RWT,0.21
2D,RVOT Diam,30.05
2D,RVOT Diam,30.05
2D,LVOT Diam,23.02
2D,LVOT Diam,23.02
2D,Ao Diam,38.14
2D,Ao Diam,38.14
2D,Ao asc,37.15
2D,Ao asc,37.15
2D,LA Diam,29.58
2D,LA Diam,29.58
2D,LA/AO,0.78
2D,LA/AO,0.78
2D,IVSd,7.56
2D,IVSd,7.56
2D,LVIDd,51.65
2D,LVIDd,51.65
2D,LVPWd,9.0
2D,LVPWd,9.0
2D,EDV(Teich),127.51
2D,EDV(Teich),127.51
2D,RWT,0.35
2D,RWT,0.35
2D,LVd Mass (ASE),150.08
2D,LVd Mass (ASE),150.08
2D,LVd Mass Ind (ASE),80.25
2D,LVd Mass Ind (ASE),80.25
2D,IVSs,10.77
2D,IVSs,10.77
2D,LVIDs,35.87
2D,LVIDs,35.87
2D,LVPWs,11.44
2D,LVPWs,11.44
2D,ESV(Teich),53.97
2D,ESV(Teich),53.97
2D,EF(Teich),57.67
2D,EF(Teich),57.67
2D,%FS,30.55
2D,%FS,30.55
2D,SV(Teich),73.53
2D,SV(Teich),73.53
MM,IVSd,6.08
MM,LVIDd,54.37
MM,LVPWd,6.08
MM,IVSs,7.04
MM,LVIDs,38.06
MM,LVPWs,11.19
MM,EDV(Teich),143.56
MM,ESV(Teich),62.18
MM,EF(Teich),56.68
MM,%FS,30.0
MM,SV(Teich),81.38
MM,LVd Mass (ASE),111.82
MM,LVd Mass Ind (ASE),59.79
MM,RWT,0.22
MM,IVSd,5.44
MM,LVIDd,54.37
MM,LVPWd,6.4
MM,IVSs,8.32
MM,LVIDs,37.42
MM,LVPWs,9.28
MM,EDV(Teich),143.56
MM,ESV(Teich),59.72
MM,EF(Teich),58.4
MM,%FS,31.18
MM,SV(Teich),83.85
MM,LVd Mass (ASE),108.3
MM,LVd Mass Ind (ASE),57.91
MM,RWT,0.24
PW,MV E Vel,0.67
PW,MV E Vel,0.67
PW,MV Velocity,0.02
PW,MV Time,205.52
PW,MV DecT,211.23
PW,MV DecT,211.23
PW,MV Dec Slope,3.18
PW,MV Dec Slope,3.18
PW,MV A Vel,0.71
PW,MV A Vel,0.71
PW,MV E/A Ratio,0.95
PW,MV E/A Ratio,0.95
PW,MV PHT,61.26
PW,MV PHT,61.26
PW,MVA By PHT,3.59
PW,MVA By PHT,3.59
PW,MVA PHT,3.02
PW,MVA PHT,3.02
PW,E' Sep.,-0.08
PW,E' Sep.,-0.08
PW,E/E' Sep.,-8.21
PW,E/E' Sep.,-8.21
PW,A' Sept,0.08
PW,A' Sept,-0.08
PW,S' Sept,0.09
PW,S' Sept,0.09
MM,TAPSE,2.0
MM,TAPSE,2.0
CW,TR Vmax,2.18
CW,TR Vmax,-2.79
CW,TR maxPG,19.04
CW,TR maxPG,31.14
CW,PV Vmax,0.64
CW,PV Vmax,-0.64
CW,PV Vmean,0.51
CW,PV Vmean,-0.51
CW,PV maxPG,1.63
CW,PV maxPG,1.63
CW,PV meanPG,1.12
CW,PV meanPG,1.12
CW,PV VTI,12.21
CW,PV VTI,12.21
CW,TR Vmax,-2.18
CW,TR maxPG,19.04
CW,MR Vmax,1.11
CW,MR Vmax,-1.11
CW,MR maxPG,4.96
CW,MR maxPG,4.96
CW,AV Vmax,1.21
CW,AV Vmax,-1.18
CW,AV Vmean,0.87
CW,AV Vmean,-0.87
CW,AV maxPG,5.85
CW,AV maxPG,5.57
CW,AV meanPG,3.44
CW,AV meanPG,3.37
CW,AV Env.Ti,235.97
CW,AV Env.Ti,255.0
CW,AV VTI,20.5
CW,AV VTI,22.21
CW,AR Vmax,2.98
CW,AR Vmax,2.98
CW,AR maxPG,35.41
CW,AR maxPG,35.41
CW,AR PHT,480.43
CW,AR PHT,480.43
CW,AR Dec Time,1656.65
CW,AR Dec Time,1656.65
CW,AR Dec Slope,1.8
CW,AR Dec Slope,1.8
CW,AV Vmax,-1.21
CW,AV Vmean,-0.87
CW,AV maxPG,5.85
CW,AV meanPG,3.44
CW,AV Env.Ti,235.97
CW,AV VTI,20.5
2D,LA1,31.09
2D,LA1,31.09
2D,LA2,43.56
2D,LA2,43.56
2D,LA Vol(MM),22.65
2D,LA Vol(MM),22.65
2D,LA Vol(MM) Index,12.11
2D,LA Vol(MM) Index,12.11
2D,HR 4Ch Q,76.72
2D,HR 4Ch Q,76.72
2D,LVVED 4Ch Q,98.75
2D,LVVED 4Ch Q,98.75
2D,LVVES 4Ch Q,46.55
2D,LVVES 4Ch Q,46.55
2D,LVEF 4Ch Q,52.86
2D,LVEF 4Ch Q,52.86
2D,LVSV 4Ch Q,52.2
2D,LVSV 4Ch Q,52.2
2D,LVCO 4Ch Q,4.0
2D,LVCO 4Ch Q,4.0
2D,LVLs 4Ch Q,7.41
2D,LVLs 4Ch Q,7.41
2D,LVLd 4Ch Q,8.71
2D,LVLd 4Ch Q,8.71
2D,BS PSSL Full,-7.87
2D,BS PSSL Full,-7.87
2D,BL PSSL Full,-20.26
2D,BL PSSL Full,-20.26
2D,MS PSSL Full,-16.62
2D,MS PSSL Full,-16.62
2D,ML PSSL Full,-18.35
2D,ML PSSL Full,-18.35
2D,AS PSSL Full,-16.14
2D,AS PSSL Full,-16.14
2D,AL PSSL Full,-17.0
2D,AL PSSL Full,-17.0
2D,BA PSSL Full,-10.19
2D,BA PSSL Full,-10.19
2D,BI PSSL Full,-7.42
2D,BI PSSL Full,-7.42
2D,MA PSSL Full,-17.48
2D,MA PSSL Full,-17.48
2D,MI PSSL Full,-16.4
2D,MI PSSL Full,-16.4
2D,AA PSSL Full,-14.75
2D,AA PSSL Full,-14.75
2D,AI PSSL Full,-20.5
2D,AI PSSL Full,-20.5
2D,BAS PSSL Full,-10.77
2D,BAS PSSL Full,-10.77
2D,BP PSSL Full,-8.86
2D,BP PSSL Full,-8.86
2D,MAS PSSL Full,-12.07
2D,MAS PSSL Full,-12.07
2D,MP PSSL Full,-7.01
2D,MP PSSL Full,-7.01
2D,AAS PSSL Full,-9.62
2D,AAS PSSL Full,-9.62
2D,AP PSSL Full,-5.54
2D,AP PSSL Full,-5.54
2D,AVC,294.47
2D,AVC,294.47
2D,Peak SL Dispersion Full,57.15
2D,Peak SL Dispersion Full,57.15
2D,G peak SL Full(APLAX),-9.28
2D,G peak SL Full(APLAX),-9.28
2D,G peak SL Full(A4C),-15.99
2D,G peak SL Full(A4C),-15.99
2D,G peak SL Full(A2C),-13.43
2D,G peak SL Full(A2C),-13.43
2D,G peak SL Full(Avg),-12.9
2D,G peak SL Full(Avg),-12.9
